#,Questions,Answer A,Answer B,Answer C,Answer D,Correct Answer,Skills
1,"Dutch philosopher Baruch Spinoza argued as part of his rejection of dualism that all things, living or not, have the inclination to continue to exist and enhance themselves, a property he named “conatus.” All things, he believed, had the tendency to and would only cease to be if acted upon by outside forces.Which choice completes the text with the most logical and precise word or phrase?",Deteriorate,perish,persevere,disappear,C,
12,"Neurologists have hypothesized that tau protein, the mutation of which is known to cause Alzheimer’s disease, is key to controlling glutamate receptors, which are involved in the production of memories. Tau protein does not directly affect glutamate receptors but does inhibit NSF, an enzyme found in the brain. Which finding, if true, would most directly support the neurologists’ hypothesis?",Other studies have shown that an excess of NSF has been shown to lead to abnormal glutamate receptor behavior.,Patients with Alzheimer’s disease have been found to have an excess of NSF in their brains during autopsies,Neurologists do not yet know what causes mutations of tau protein; one hypothesis is that disease leads to these mutations.,Other types of dementia are not caused by mutations in tau protein but rather physical damage to the brain.,A,
13,"From 1634 to 1637 CE, tulips in the Dutch Republic sold for extraordinarily high prices, sometimes as much as 10 times the annual wage of a skilled worker, in a phenomenon known as tulip mania. Some economists, such as Charles Kindleberger, argue that tulip mania was the first speculative bubble in history, during which the prices of a commodity (in this case tulip bulbs) do not follow the typical rules of economics. Others, such as Peter Garber, believe that tulip mania is explainable by fundamental economic concepts such as supply and demand. Which finding, if true, would most directly support Garber’s argument?","Tulips during this period were very rare, and demand for tulips was fueled in part by the ability to reproduce and sell bulbs, enabling some purchasers to make profits.","Some common bulbs, such as the Witte Croonen bulb, saw price increases as dramatic as those of rare bulbs.",The prices of tulip bulbs were much higher than could be supported by the banking system in place in 17th century Europe.,The tulip mania led to an increase of the supply of gold coins in the Dutch Republic.,A,
14,"The use of pesticides in agriculture poses risks to both humans and the environment, so finding alternative methods of pest control is an important area of research. The use of ants to control pests in China goes back to at least the 4th century CE, and farmers in places such as Kenya, Ghana, and Canada have also used ants to control various organisms. Entomologist Diego Anjos and others have identified several positive effects (services) of ants, such as reducing both the abundance of non-honeydew-producing species and plant damage. However, ants also have negative effects, such as increasing the abundance of honeydew-producing species and spreading pathogens, suggesting that Which choice most logically completes the text?",ants may have unintended environmental consequences when used to control pests in certain circumstances.,other species may also be effective in providing services to farmers.,ants as pest control provide numerous services without serious ramifications.,scientists do not yet know whether using ants to control organisms is a net positive in any situation.,B,
15,"Among many animals, such as mice, fruit flies, and humans, each odor that an animal can smell is detected by a particular kind of sensory neuron that has a particular kind of receptor; eliminating that receptor through illness or genetic manipulation results in the inability to smell that odor. A team led by neurobiologist Margo Herre tested whether mosquitoes modified to lack the receptor for smelling blood would be unable to find humans. These mosquitoes were still able to find humans, suggesting that Which choice most logically completes the text?",mosquitoes without damage to their odor receptors are more capable of finding humans than those with damage,"like mice, fruit flies, and humans, individual mosquitoes with damage to particular receptors will be unable to detect certain odors","researchers cannot assume that mosquitoes have the same correlation between receptors and the ability to sense certain odors that mice, fruit flies, and humans have",researchers can assume that interfering with mosquitoes’ odor receptors is a potential way to prevent mosquitoes from feeding on humans.,C,
16,"The North American Free Trade Agreement (NAFTA) was an agreement among the United States, Canada, and Mexico that was in effect between 1994 and 2020. During this time, the number of manufacturing jobs in the United States and Canada declined, but the total number of manufacturing jobs in the countries covered by NAFTA increased. This suggests that, between 1994 and 2020, Which choice most logically completes the text?",the number of manufacturing jobs in Mexico increased by a greater amount than the combined decreases in the United States and Canada.,NAFTA made it more difficult for manufacturers to establish factories in the United States and Canada.,the cost of manufacturing goods in the area covered by NAFTA decreased.,"complex goods, such as automobiles and electronics, were increasingly manufactured in the United States, Canada, and Mexico.",A,
17,"Researchers studying the recent eruption of Hunga Tonga-Hunga Ha’apai, a submarine volcano located near the islands of Tonga in the South Pacific, found that the volcanic cloud, compared to those of other eruptions, 	the highest ever recorded. Which choice completes the text so that it conforms to the conventions of Standard English?",have been,are,was,were,C,
18,"Connectomes, extensive maps of neural connections in the brain, reveal that each person has a distinct pattern of connections known as a functional fingerprint. In a 2017 study, behavioral  found that about one-third of the functional fingerprint is unique to an individual and that other parts are inherited.Which choice completes the text so that it conforms to the conventions of Standard English?","neuroscientist, Damien Fair,",neuroscientist Damien Fair,"neuroscientist Damien Fair,","neuroscientist, Damien Fair",B,
19,"Throughout her career, Muscogee Nation member and poet Joy Harjo has edited multiple anthologies that have highlighted Native voices in the US. For example, a map showcasing 47 Native Nations poets her signature project during her time as the U.S. Poet Laureate.Which choice completes the text so that it conforms to the conventions of Standard English?",was,are,have been,were,A,
20,"When bees pollinate flowers, they may be exposed to insecticides, potentially affecting their nervous systems. Recently, Dr. Rachel Parkinson of the University of Oxford added the common  	to a sucralose solution to examine the insecticide’s impact on honeybees’ ability to walk in a straight line.Which choice completes the text so that it conforms to the conventions of Standard English?",insecticide sulfoxaflor,"insecticide, sulfoxaflor,","insecticide sulfoxaflor,","insecticide, sulfoxaflor",A,
21,"In 1946, Juliet Rice Wichman acquired 1,000 acres on Kaua’i, one of the Hawaiian islands, to transform the land into a garden by removing grazing cattle and restoring terraces to grow taro. Wichman’s work to preserve the culture of Kaua’i wasn’t as the first director of the Kaua’i Museum, she oversaw exhibits celebrating the history, culture, and art of Native Hawaiians.Which choice completes the text so that it conforms to the conventions of Standard English?",finished though,"finished. Though,","finished, though,","finished, though:",D,
22,"Researchers studying bacteria have solved a 50-year mystery of how bacteria are able to move using appendages that are made of a single the subunits of the protein can exist in 11 different shapes, allowing the appendages to “supercoil” into corkscrews that the bacteria use to propel themselves.",protein,protein while,"protein,",protein:,D,
23,"Fault tree analysis was originally used in engineering to enhance safety practices in high-risk fields, such as nuclear power and pharmaceuticals, but other fields are experimenting with ways to utilize this process to benefit their work.fault tree analysis is also being used in low-risk fields, such as social services and software engineering.Which choice completes the text with the most logical transition?","Increasingly,","Nevertheless,","Therefore,","In addition,",A,
24,"When Monika Sosnowska began her career in Amsterdam as a painter, she never expected to branch out into other media. she had primarily worked on canvas, but she quickly found her works evolving to include the three-dimensional space around her.Which choice completes the text with the most logical transition?","Instead,","Consequently,","Previously,","Similarly,",C,
25,"Fish sometimes appear in otherwise uninhabited bodies of water, seemingly emerging out of nowhere. Some scientists believe that the fish are carried to these locations in the beaks or talons of birds.   new research suggests that the fish eggs enter a state of hibernation and are actually eaten by birds and excreted out into the","For instance,","Next,","Likewise,","Alternatively,",D,
26,"While researching a topic, a student has taken the following notes: The student wants to emphasize the aim of the research study. Which choice most effectively uses relevant information from the notes to accomplish this goal?", Researchers obtained a soundscape at Port Noarlunga Reef to help in the restoration of oyster reefs in Australia.,Researchers now know that the soundscape of a healthy marine ecosystem can attract baby oysters to attach to submerged limestone boulders.,"After they measured the number of oysters attracted to boulders in the soundscape area compared to no soundscape, researchers determined that the soundscape attracted more baby oysters.",Researchers wanted to know whether a soundscape of a healthy marine ecosystem could encourage baby oysters to attach to submerged limestone boulders.,D,
27,"While researching a topic, a student has taken the following notes: One of his recent studies revealed the genomes of a family of Neanderthals.The student wants to emphasize the affiliation and purpose of Paabo’s and Skov’s work. Which choice most effectively uses relevant information from the notes to accomplish this goal?","The closest evolutionary relatives of present-day humans, Neanderthals went extinct about 40,000 years ago.","By studying the genomes of Neanderthals, Svante Paabo and Laurits Skov of the Max Planck Institute for Evolutionary Anthropology provide insight into human evolution.","Svante Paabo and Laurits Skov study the genome of Neanderthals, an extinct species of humans.","Studies by Svante Paabo and Laurits Skov reveal information about Neanderthals, who died out about 40,000 years ago.",B,
