Question number,Question,A,B,C,D,Correct,Skill,Difficulty,Unit,Lesson
11,"Text 1 Marine bycatch are species caught by commercial fishers that are not the target species. For example, a ship fishing for cod may also catch sharks, rays, seals, dolphins, or other species. Bycatch are thrown back into the ocean, but not before some animals are injured, sometimes fatally. Paul Wade and team describe bycatch as the largest human contributor to marine species decline and insist that the commercial fishing industry work to reduce bycatch. Text 2 Philip Doherty and colleagues are testing a device that is attached just above a fishhook and sends an electrical pulse into the hook. The researchers placed the device on half of the hooks deployed by a commercial fishing ship and compared the bycatch found on these hooks to those without. The hooks with the device caught substantially fewer of the local bycatch species. Based on the texts, how would Doherty and colleagues (Text 2) most likely respond to the issue described by Wade in Text 1? Please give 1 answer.",They would present their findings as a potential step toward addressing the amount of marine bycatch.,They would offer their experimental results as proof that the issue of marine bycatch can be solved.,"They would explain that, while interesting, their data is not relevant to the reduction of marine bycatch.",They would offer their experimental results as proof that the issue of marine bycatch can be solved.,A,Cross-Text Connections ,Hard,,Craft and Structure
12,"Text 1 Some literary critics argue that Gustave Flaubert's 1856 novel Madame Bovary has a strange and subversive theme that undermines its own medium: in short, they say that Flaubert's masterpiece of fiction is a cautionary tale about the dangers of reading novels. As evidence, they point to its unsympathetic protagonist, Emma Bovary, who lives in her books and romanticizes the simplest aspects of daily life as well as her relationships, ultimately becoming entirely dissatisfied with real life. Text 2 Flaubert's Madame Bovary was not meant to be a criticism of fiction itself, but a warning against allowing suggestible people like Emma to have access to novels. It is the other characters' unwillingness to check Emma's literary passions (and even their ignorance of the existence of such a problem) that leads to the disintegration of the Bovary household. Based on the texts, how would the author of Text 2 most likely respond to the claims of the literary critics in Text 1? Please give 1 answer.",By arguing that the romanticization of daily life can lead to high expectations and dissatisfaction,By insisting that Madame Bovary's message is that novels are dangerous for only some readers,characters ,By insisting that Madame Bovary's message is that novels are dangerous for only some readers,B,Cross-Text Connections ,Hard,,Craft and Structure
13,"Cement is needed to make concrete, one of the most important building materials used throughout the world, but the carbon dioxide released by its manufacture generates about 8% of the world’s carbon dioxide emissions. To make concrete by a process that consumes carbon dioxide, rather than produces it, a Colorado company uses cyanobacteria, a bacteria capable of photosynthesis. The bacteria are raised in water, under lights, with the carbon dioxide needed for photosynthesis pumped in. The bacteria generate tiny crystals of calcium carbonate, the main component of limestone, which is then blended with sand or another aggregate to make ""bioconcrete."" The results have been promising. Bioconcrete cures faster and, in early tests, is as strong as conventional concrete. Which choice best states the main idea of the text? Please give 1 answer.","Some bacteria, called cyanobacteria, are capable of photosynthesis, a process that consumes carbon dioxide.","Concrete requires cement, and the manufacture of cement generates large amounts of carbon dioxide.",Cyanobacteria may be useful in reducing the carbon dioxide emissions associated with concrete production.,A Colorado company has invented the only known way to reduce the emissions of carbon dioxide in the production of cement.,C,Central Ideas and Details,Hard,,Information and Ideas
14,"An artificial intelligence (AI) computer program has established its dominance over most human players in one of the most complex online games. Computers have previously bested masters of backgammon, chess, and go, but unlike these games, more complex online games require verbal and relationship skills: players bargain, cooperate, form alliances, and may break them. It is this added dimension of communication, negotiation, and subterfuge that makes large online games so complex and unpredictable. Yet an AI computer program was ranked in the top ten percent of players in an online gaming tournament, and none of the human competitors realized they were playing against a computer program. Which choice best states the main idea of the text? Please give 1 answer.","The interpersonal skills of communication, bargaining, and negotiation make some online games difficult and unpredictable.","Although none of its competitors recognized it as a computer program, an AI computer program lacked the sophistication needed to succeed in a complex online game.","Online games can be extremely complex, so it was unexpected that an AI computer program proved to be unbeatable.","An AI computer program scored well in an online gaming competition, even though the game requires human relationship skills.",D,Central Ideas and Details,Hard,,Information and Ideas
15,"The following text is adapted from Victor Hugo's 1862 novel Les Miserables. In former times, those severe places where the discipline of the prison delivers the convict into his own hands, were composed of four stone walls, a stone ceiling, a flagged pavement, a camp bed, a grated window, and a door lined with iron. They were called dungeons; but the dungeon was judged to be too terrible. Nowadays they are composed of an iron door, a grated window, a camp bed, a flagged pavement, four stone walls, and a stone ceiling, and are called chambers of punishment. A little light penetrates towards midday. The inconvenient point about these chambers which, as the reader sees, are not dungeons, is that they allow the persons who should be at work to think. Which choice best states the main idea of the text? Please give 1 answer.",A prisoner who has time to think will often be deeply unhappy.,Dungeons were replaced after the French legislature judged them to be too terrible.,The midday light that enters the chambers of punishment is harmful to the eyes of prisoners.,Little has been done to actually reform prisons.,D,Central Ideas and Details,Hard,,Information and Ideas
16,"The following text is adapted from L.M. Montgomery's 1926 novel The Blue Castle. Throughout the story, Mrs. Frederick, refers to her adult daughter Valancy by the nickname Doss. [Valancy] marched to the tool-room in the barn for her garden knife and she went at the rosebush viciously. A few minutes later horrified Mrs. Frederick came out to the verandah and beheld her daughter slashing insanely among the rosebush boughs. Half of them were already strewn on the walk. The bush looked sadly dismantled. ""Doss, what on earth are you doing? Have you gone crazy?"" ""No,"" said Valancy. She meant to say it defiantly, but habit was too strong for her. She said it deprecatingly. ""I — I just made up my mind to cut this bush down. It is no good. It never blooms — never will bloom."" ""That is no reason for destroying it,"" said Mrs. Frederick sternly. ''It was a beautiful bush and quite ornamental. You have made a sorry looking thing of itReally, I'm surprised at you. And to do it without consulting me!"" Based on the text, which of the following best describes Valancy's usual way of interacting ,with her mother? Please give 1 answer.",Submissively,Argumentatively,Rebelliously,Amicably,A,Central Ideas and Details,Hard,,Information and Ideas
17,"The following text is adapted from Thucydides' 5th century B.C.E. work History of the Peloponnesianwar. During the war, Athens and Sparta each lead an alliance of city-states. Thucydides describes the war's impact on Corcyra, a neutral city-state. In peace there would have been neither the pretext nor the wish to make such an invitation; but in war, with an alliance always at the command of either political faction for the hurt of their adversaries and their own corresponding advantage, opportunities for bringing in the foreigner were never wanting to the revolutionary partiesWords had to change their ordinary meaning and to take that which was now given them. Reckless audacity came to be considered the courage of a loyal ally; prudent hesitation, specious cowardice; moderation was held to be a cloak for unmanliness; ability to see all sides of a question, inaptness to act on any. According to the text, how did the Peloponnesian war undermine the domestic politics of Corcyra? Please give 1 answer.",Both political factions feared that their city would be invaded and totally destroyed by a foreign power.,"Each political faction felt itself to be in danger, as their opponent might ally with a foreign power.","Public debate became confused as the war led to a change in the definition of many commonplace words, undermining public debate.","The benefits of joining the war were great, but the two political factions could not agree on what to ask of Athens for an alliance.",B,Central Ideas and Details,Hard,,Information and Ideas
18,"Scientists previously assumed that insects, unlike some mammals and birds, do not engage in play — actions that have no known survival purpose but rather seem motivated by pleasure. However, researchers from Queen Mary University of London studied play in bees, hypothesizing that the insects will actively seek out the opportunity to engage in play. In one test, bees could choose to proceed directly to food or to divert to spaces containing miniature wooden balls. The bees rolled the balls repeatedly — one bee doing so over a hundred times. This result caused the researchers to conclude that the bees were indeed playing, as they apparently obtained pleasure from rolling the balls. In a second test, bees were placed in an enclosure with two differently colored spaces; only one of the spaces had wooden balls. The bees were later given the opportunity to choose to enter one of the two differently-colored spaces. Which finding from the second test, if true, would most strongly support the researchers' hypothesis? Please give 1 answer.",Bees that initially engaged in high amounts of ball rolling typically decreased their ball-rolling activity over the course of the tests.,The vast majority of bees tended to bypass the opportunity to roll balls in order to access food more quickly.,The bees showed a preference for the space that was the same color as the one previously containing balls.,"The bees preferred spaces that were darker colors, regardless of whether darker spaces previously contained balls.",C,Textual Command of Evidence ,Hard,,Information and Ideas
19,"Incidents in the Life of a Slave Girl is an 1861 autobiography by Harriet Jacobs. In the book, Jacobs suggests that although she found her family to be a source of comfort, the stability of her family was insecure: Which quotation from Incidents in the Life of a Slave Girl most effectively illustrates the claim? Please give 1 answer.","""The laugh of the...children sounded harsh and cruel. It was selfish to feel so about the joy of others. My brother moved about with a very grave face. I tried to comfort him, by saying, 'Take courage, Willie; brighter days will come by and by.'""","""A streak of moonlight was on the floor before me, and in the midst of it appeared the forms of my two children. They vanished; but I had seen them distinctly. Some will call it a dream, others a vision. I know not how to account for it, but it made a strong impression on my mind.""","""I had one brother, William, who was two years younger than myself — a bright, affectionate child. I had also a great treasure in my maternal grandmother, who was a remarkable woman in many respects.""","""When [my brother] put his arms round my neck, and looked into my eyes, as if to read there the troubles I dared not tell, I felt that I still had something to love. But even that pleasant emotion was chilled by the reflection that he might be torn from me at any moment.""",D,Textual Command of Evidence ,Hard,,Information and Ideas
20,"The Jungle is a 1906 novel by Upton Sinclair. In the novel, Sinclair portrays Jurgis and Ona, Lithuanian immigrants to Chicago, as persevering with integrity and diligence despite difficult conditions: ______ Which quotation from The Jungle most effectively illustrates the claim? Please give 1 answer.","""Jurgis was like a boy, a boy from the country. He was the sort of man the bosses like to get hold of, the sort they make it a grievance they cannot get hold of. When he was told to go to a certain place, he would go there on the run. When he had nothing to do for the moment, he would stand round fidgeting, dancing, with the overflow of energy that was in him.""","""Jurgis talked lightly about work, because he was young. They told him stories about the breaking down of men, there in the stockyards of Chicago, and of what had happened to them afterward — stories to make your flesh creep, but Jurgis would only laugh. He had only been there four months, and he was young, and a giant besides.""","""There was always the boss prowling about, and if there was a second's delay he would fall to cursing; Lithuanians and Slovaks and such, who could not understand what was said to them, the bosses were wont to kick about the place like so many dogs""","""We will pay them all somehow. I will work harder."" That was always what Jurgis said. Ona had grown used to it as the solution of all difficulties—""I will work harder!"" He had said that in Lithuania ... He had said it again in New York ... Now he said it a third time...""",D,Textual Command of Evidence ,Hard,,Information and Ideas
21,"Some psychologists have argued that even subtle cues that suggest one is being watched can cause a person to act more generously. Psychologists Melissa Bateson, Daniel Nettle, and Gilbert Roberts claim to have found evidence for this effect in a 2006 study, in which the researchers set up an ""honesty box"" in a university coffee room. Posted signage indicated the prices of various drinks, and students could anonymously take drinks and place their payments into the box. The researchers also displayed a banner above the drink station that showed either a pair of directly staring eyes or a control image of flowers. Which finding from the researchers' study, if true, would most strongly support their claim? Please give 1 answer.","In a post-experiment survey, the majority of participants reported that they had not noticed any image displayed on the banner, whether it was the image of eyes or the control in age","In a post-experiment survey, participants who had viewed the image of eyes self-reported increased feelings of anxiety compared with participants who had viewed the control image.","On average, participants paid approximately three times as much for their drinks when the image of eyes rather than the control image was displayed.","On average, participants paid approximately the same price for their drinks regardless of whether the image of eyes or the control image was displayed",C,Textual Command of Evidence ,Hard,,Information and Ideas
22,"The writers of the U.S. Constitution intended it to be a ""living document""; in other words, the government it outlined could be adapted over time as the needs of the country and its people changed. Still, they believed that changes to the Constitution should not be made lightly. As a result, they structured the Constitution so that the process for adding amendments was intentionally deliberate and complex. Of the two possible processes they outlined for amending the Constitution, only one has been utilized: if two-thirds of both houses of Congress pass a proposed amendment, it is then sent to the state legislatures. The amendment is only ratified — or added to the Constitution — if three-fourths of the state legislatures approve it. Given the complexity of this ratification process, political scientists argue that amendments are an ineffective way to address immediate matters of public policy; indeed, which choice most effectively uses data from the graph to illustrate the claim? Please give 1 answer.",a total of 33 amendments have been passed by Congress and sent to the states for possible ratification.,the majority of amendments sent to the states for approval that were eventually ratified took just one year to complete the process.,only one amendment sent to the states for approval took over 200 years to complete the ratification process and be added to the Constitution,the majority of amendments sent to the states for approval that were eventually ratified took two or more years to complete the process.,A,Interpreting Data ,Hard,,Information and Ideas
23,"One difficulty facing palaeoarchaeologists, researchers who study ancient human remains, is determining accurate dates for the hominid fossils they analyze. Scientific dating methods fall into two broad categories: relative and absolute. Relative dating approximates date ranges based on where a fossil is located in relation to other fossils. For instance, stratigraphy, a type of relative dating, relies on the principle that lower sedimentary layers are older than higher ones. Absolute dating uses techniques such as radiometric dating, which measures the decay of radioactive materials in a fossil. Palaeoarchaeologists today rely on a combination of these methods and claim that subsequent analyses over time can sometimes determine that hominid fossils are older than was previously thought. Selected Results of Dating Analyses of Hominid Fossils Hominid fossil | Year of study | Dating technique | Date assigned (approximate) ""Lucy"" Australopithecus afarensis skeleton | Initial analysis | Stratigraphic (analysis of surrounding pig skeletons) | 3.5-2.9 million years ago | 1992 | Radiometric (geochemical dating of nearby volcanic ash) | 3.18 million years ago ""Omo I"" Homo sapien skeleton | Initial analysis | Stratigraphic (analysis of surrounding mollusk shells) | 130,000 years ago | 2004 | Stratigraphic (analysis of surrounding fossils) | 195,000 years ago | 2021 | Radiometric (geochemical dating of nearby volcanic ash) | 233,000 years ago Which choice best describes data from the table that support the palaeoarchaeologists' claim? Please give 1 answer.","Repeated analysis of the ""Omo I'' skeleton eventually determined that it was approximately 100,000 years older than had been indicated when it was initially analyzed.","Researchers utilized stratigraphic analysis in studies of both the ""Lucy"" skeleton and the ""Omo I"" skeleton; these studies estimated the former's age at 3.5-2.9 million years and the latter's at 130,000 years.","Based on both stratigraphic and radiometric dating methods, researchers estimate that the ""Lucy"" skeleton is likely more than 2 million years old.","A 1992 study of the ""Lucy"" skeleton used radiometric dating of volcanic ash to conclude that the fossil was 3.18 million years old, significantly older than previous estimates of its age.",A,Interpreting Data ,Hard,,Information and Ideas
24,"Average Lobster Body Length, in mm | 2006 | 2008 | 2010 | 2012 Fished area males | 248 | 252 | 254 | 249 Fished area females | 252 | 243 | 253 | 248 Protected area males | 240 | 268 | 281 | 285 Protected area females | 240 | 260 | 270 | 276 Tonje Sordalen hypothesized that Norwegian fishing regulations are contributing to the production of smaller-sized lobsters. Norwegian lobster fishers may only retain lobsters with body lengths longer than 250 mm. Sordalen theorized that the removal of larger individuals from the breeding population was forcing a gradual reduction in lobster body length because a female lobster will usually only mate with a male that is her size or larger. To test this hypothesis, Sordalen and her team collected and measured over 2,000 lobsters across a six-year period, starting in 2006, when several areas protected from lobster fishing were established. Which choice best describes data from the table that support Sordalen's hypothesis? Please give 1 answer.",Females in both fished and protected areas always had rates of change of average body length less that those of the males in the corresponding areas.,"The males in the protected area had longer average body lengths than males in the fished areas, even though the rate of change of average body length for protected males was less than that of protected females.",Neither the males nor the females in the fished areas showed a significant decrease in average body length during the study period.,"Not only was the rate of change of average body length of males in the protected area greater than that of protected females, but the protected males achieved Overall longer body lengths than the fished males.",D,Interpreting Data ,Hard,,Information and Ideas
25," Cherry tomatoes are a highly-valued crop, but after harvest, the fruits are susceptible to gray mold caused by the fungal parasite Botrytis cinerea and black rot caused by Alternaria alternata. Vanillin is a popular and safe food additive that has also shown antimicrobial and antioxidant effects. Jing Yang and colleagues hypothesized that applying vanillin to cherry tomatoes could extend their shelf life by delaying the onset of gray mold and black rot. The researchers tested the effectiveness of varying concentrations of vanillin on the spore germination of the causative organisms. Although high concentrations of vanillin proved to be effective, Yang and colleagues reported a substantial difference in the preventative abilities of vanillin at lower concentrations, citing Which choice most effectively uses data from the graph to complete the example? Please give 1 answer.",the similarity of the level of the rate of spore reduction of both organisms at concentrations of vanillin over 1000 mg/L,the higher concentration of vanillin needed before the spore germination rate of the fungus causing gray mold equaled that of the fungus causing black rot,"the observation that, at low concentrations of vanillin, the spore germination rate of the black rot fungus dropped quickly whereas that of the gray mold fungus did not","a sharp decrease in the rate of gray mold spore germination at a low concentration of vanillin, while a similar decrease in the rate of spore germination of black rot required a much higher concentration.",B,Interpreting Data ,Hard,,Information and Ideas
26," Dogs that assist humans who have post traumatic stress disorder (PTSD) are currently taught to respond to mostly visual and auditory cues, both those exhibited by the humans they serve and those in the surrounding environment. Researchers in a 2022 study analyzed whether PTSD service dogs also use their acute sense of smell to detect and respond to negative stress in humans. The researchers found that trained dogs were highly accurate - about 94% on average - in detecting the odors of breath and sweat samples that were taken from participants who were experiencing stress. As a result, the researchers suggest that Which choice most logically completes the text? Please give 1 answer.",PTSD service dogs are more accurate at detecting smell-based cues that indicate states of stress than states of calm,PTSD service dog training could incorporate teaching them to respond to smell based stress cues.,the current methods of PTSD service dog training are highly effective and should not undergo any revisions.,the chemical odors in human sweat are more acute to dogs' sense of smell than are the chemical odors in human breath.,B,Inference,Hard,,Information and Ideas
27,"Published in 1968, the second edition of the American Psychiatric Association's Diagnostic and Statistical Manual of Mental Disorders, or DSM-II, introduced a newly conceptualized disorder listed as the Hyperkinetic Reaction of Childhood, which focused on a child's excessive motor activity. The DSM- III, published in 1980, renamed the disorder to Attention Deficit Disorder (ADD) and expanded the symptoms list to include difficulties with attention and impulsivity. A revision of the DSM-III brought with it the addition of another disorder Attention Deficit/Hyperactivity Disorder (ADHD), which was listed separate from ADD. However, ADD Which choice most logically completes the text? Please give 1 answer.",is a very uncommon disorder and it is highly unlikely that future publications of the DSM will continue to have modifications to the criteria for a formal diagnosis.,"was eliminated from the DSM-5 in 2013, leaving only ADHD and its specific sub types, or ""presentations,"" as the current iteration of a disorder that was introduced decades ago.","remains one of the most prevalent childhood psychiatric diagnoses for children between the ages of 6-12 years old, and is often comorbid with depression and anxiety.","diagnoses require significant documentation of excessive motor activity, inattention, and hyperactivity, as observed and reported by a board-certified psychologist.",B,Inference,Hard,,Information and Ideas
28," Ann Kussmaul, an economic historian, tracked the movement of the Industrial Revolution through England by using marriage records. Prior to the Industrial Revolution, villages in farming districts recorded most marriages in the winter, after crops were harvested. In hilly districts, where sheep were raised, most marriages were recorded in the summer, after the busy lambing season in the spring. As the Industrial Revolution and the factory-based labor it demanded moved into the villages, marriages became more evenly distributed throughout the year, indicating that which choice most logically completes the text? Please give 1 answer.",factory work was not considered to be a better type of employment than agriculture.,the total number of marriages occurring in a village during the year increased as well.,people's activities were no longer tied as closely to the seasons of the year as they had been in the past.,the benefits of the Industrial Revolution were seen more quickly in the cities than in the rural villages,C,Inference,Hard,,Information and Ideas
29,"Some psychologists claim that humans have developed a unique nervous system that is capable of recognizing different emotional expressions out of necessity, due to the weight of such recognition in human communication. To test this theory, researchers showed photographs of people displaying emotions of joy, anger, and surprise to a group of trained pigeons. The birds were not only able to distinguish between expressions but were also able to correctly match each image to photographs of other human faces displaying the same expressions. While the experiment's results do not conclusively prove that the pigeons can comprehend the meaning of the tested expressions, Which choice most logically completes the text? Please give 1 answer.",psychologists will likely reject the attempt to draw conclusions about humans based on a study about birds.,the results do cast doubt upon the theory proposed by the psychologists.,the results prove that emotions are important in human communication,the results do suggest that the nervous systems of humans and birds are essentially identical.,B,Inference,Hard,,Information and Ideas
30,"While researching a topic, a student has taken the following notes: The U.S. National Park System includes numerous National Historical Parks in its registry. National Historical Parks serve to preserve locations that are significant in the history of the United States. The battle sites at Lexington and Concord in the state of Massachusetts have together been designated as the Minute Man National Historical Park. British troops and American militias engaged in armed conflicts in 1775 in the towns of Lexington and Concord after the British General Gage sent troops to seize possible stockpiles of weapons. The 1775 battles at Lexington and Concord began the American Revolutionary War.1 The student wants to emphasize why the battle sites at Lexington and Concord were designated as a National Historical Park. Which choice most effectively uses relevant information from the notes to accomplish this goal? Please give 1 answer.","National Historical Parks preserve locations that are significant in U.S. history, so the battle sites at Lexington and Concord, the locations of the first battles of the Revolutionary War, were designated as the Minute Man National Historical Park.","The Minute Man National Historical Park in Massachusetts contains the battle sites of Lexington and Concord, where armed conflicts occurred between British troops and American militias in 1775.",Lexington and Concord were the sites of the first battles between British troops and American militias in the Revolutionary War; the battles occurred when the Americans resisted the British General Gage's attempt to seize weapons in 1775.,National Historical Parks are part of the U.S. National Park System and have the particular function of preserving locations that are important in the history of the United States.,A,Rhetorical purpose & point of view,Hard,,Expression of Ideas
31,"While researching a topic, a student has taken the following notes: The main location of the National Air and Space Museum is on the National Mall in Washington, D.C., within short walking distance of other national museums. The museum's exhibits include artifacts from the beginning of aviation, such as the Wright brothers' 1903 flyer; a detailed display about the planets; and a collection of artifacts related to space travel, including astronaut Neil Armstrong's spacesuit. The Steven F. Udvar-Hazy Center is another location of the National Air and Space Museum, located outside of Washington, D.C., in Virginia. The center's exhibits are housed in two massive hangars and include Cold War-era satellites and planes, commercial aircraft such as the first supersonic airliner, and the Space Shuttle Discovery. The student wants to explain an advantage of the organization of the National Air and Space Museum. Which choice most effectively uses relevant information from the notes to accomplish this goal? Please give 1 answer.","The National Air and Space Museum con sists of two locations: the main museum located in Washington, D.C., and the Steven F. Udvar-Hazy Center located in Virginia.","The Steven F. Udvar-Hazy Center in Virginia has numerous exhibits on display that include actual aircraft and spacecraft, such as planes from the Cold War era, the first supersonic commercial airliner, and the Space Shuttle Discovery.","The locations of the National Air and Space Museum display artifacts related to aviation, such as the Wright brothers' 1903 flyer and the first supersonic commercial airliner, as well as artifacts related to space travel, such as astronaut Neil Armstrong's spacesuit and the Space Shuttle Discovery.","The main location of the National Air and Space Museum is accessible to those visiting other museums on the National Mall, and its second location, the Steven F. Udvar Hazy Center, has the room to display full sized aircraft.",D,Rhetorical purpose & point of view,Hard,,Expression of Ideas
