#,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Skill
11,"India is the largest democracy in the world, with over 614 million people voting in the 2019 election for the Lok Sabha, the parliament of the federal government. In the early years of Indian independence, from the first election in 1951-52 through the eighth Lok Sabha in
1984, each election resulted in one party winning the majority of seats. However, starting with the 1989 election, the party with the largest number of seats failed to win more than half of the total seats. This trend was eventually broken by the Bharatiya Janata Party, which
Which choice most effectively uses data from the graph to illustrate the claim?",went from holding the second most seats among the top 3 parties in parliament in 2004 and 2009 to holding a majority of seats in 2014 and 2019,reached its highest percentage of seats the same year that the Indian National Congress had its lowest percentage of seats over the same time period,won a lower percentage of seats in the 2009 election than in the 2004 election.,had a lower percentage of seats than the Indian National Congress in 2004 but a higher percentage of seats than the Indian National Congress in 1999.,A,
12,"Fatty liver disease (FLD) occurs when excess fat builds up in the liver. While there are often few or no symptoms of FLD, if left untreated, it can lead to cirrhosis or liver cancer. Because FLD is often asymptomatic, doctors and researchers rely on indicators such as steatosis (retention of fat in the liver), fibrosis (scarring), blood glucose (sugar), serum insulin, and insulin resistance to measure and track the development of FLD. A group of researchers led by radiologist Hamid Reza Talari hypothesized that those who take vitamin B12 would experience improvements in fibrosis and insulin resistance when compared to a control group over the same time period.
Which choice best describes data from the table that support the researchers’ hypothesis?",Those in the control group had decreases in their steatosis values and fasting blood glucose but had increases in fibrosis values and HOMA-IR.,"Those in the vitamin B12 group had decreases in fibrosis values and HOMA-IR levels, whereas those in the control group had increases in these same values",Both those in the vitamin B12 group and the control group had decreases in their steatosis values.,"Those in the control group had a decrease in their fasting blood glucose, but those in the vitamin B12 group had an increase in their fasting blood glucose.",B,
13,"The air pollution produced in an area is only one factor in that area’s air quality. Weather patterns, in particular wind and the movement of air masses, can affect the concentration of pollutants such as carbon monoxide. During a smog event that occurred in the northeastern United States in November 1966, levels of carbon monoxide were recorded in Newark, New Jersey, the origin of the smog event, as well as neighboring city New York, NY, and more distant cities such as Philadelphia, PA, and Washington, D.C. The localized nature of weather patterns during this event can be seen by comparing Newark, NJ, and New York, NY, with 	.
Which choice most effectively uses data from the table to complete the statement?","Washington, D.C., on the 18th and the 19th. g ","Philadelphia, PA, on the 23rd and the 25th","Philadelphia, PA, on the 24th and the 26th.","Washington, D.C., on the 23rd and the 24th.",D,
14,"Neurons respond to stimuli from sensory organs or other neurons. Learning occurs when neurons change how they respond to stimuli based on previous experience, which is a property of memory. Electrical engineers seek to replicate similar processes in their development of computer memory. Recently, research by electrical engineer Mohammad Samizadeh Nikoo has demonstrated that vanadium dioxide (VO2) has a similar memory property to that of neurons, suggesting that 	.
Which choice most logically completes the text?",VO2 could be used in the development of computer memory.,neurons use VO2 when forming memories,VO2 can learn to respond to stimuli from sensory organs. ,electrical engineers can now use neurons to develop computer memory.,A,
15,"Uruguayan-Spanish author Carmen Posadas has written the children’s books Juego de Ninos (Child’s Play) and La Cinta Roja (The Red Ribbon). Currently, 	available in over fifty countries and thirty languages.
Which choice completes the text so that it conforms to the conventions of Standard English?",some are,This is,They are,It is,C,
16,"During a meeting, a group of twelve young deaf people shared their feelings of isolation and their desire for support. In 1988, the group worked together to form Action Deaf Youth, an 	provides services and programs for deaf children and youth throughout Northern Ireland.
Which choice completes the text so that it conforms to the conventions of Standard English?","organization, that",organization,organization that,"organization,",C,
17,"In 1986, after a 56-day expedition, Ann Bancroft became the first woman to reach the North Pole. Her experience as a physical education teacher and her leadership of the first all-female team to cross the ice to the South 	her to create a foundation that supports girls in pursuing their dreams.
Which choice completes the text so that it conforms to the conventions of Standard English?",Pole to inspire,Pole that inspired,"Pole, inspiring",Pole inspired,D,
18,"American artist Simone Leigh creates art in various mediums, including sculptures, video, and 	the themes and images in her artwork, Leigh has emphasized that Black women are her primary audience and that they would be familiar with the allusions in her work.
Which choice completes the text so that it conforms to the
conventions of Standard English?",performance. Discussing,performance discussing,performance and discussing,"performance, discussing",A,
19,"Japanese origamist Akira Yoshizawa is considered the grandmaster of origami, creating more than 50,000 models as well as wet-folding, the most well-known of his invented techniques. 	dampening the paper before folding, leading to origami models with rounder and more sculpted looks.
Which choice completes the text so that it conforms to the conventions of Standard English?",It involves,They involve,One involves,These involve,A,
20,"Chinese artist Xu Bing is known for his art installations that showcase his printmaking skills and his creative use of languages and texts. His
1991 installation A Book from the Sky, for example, consists of volumes and scrolls printed with characters he invented, while his
2004 installation The Glassy Surface of a 	uses the text of Henry David Thoreau’s Walden to create the illusion of a lake.
Which choice completes the text so that it conforms to the conventions of Standard English?",Lake:,Lake,"Lake,",Lake-,B,
21,"Developed along with the swing style of jazz music in the 1920s, swing dance is a group of social dances that once comprised hundreds of styles. Not all of the styles survived beyond that time 	
the dances that are still popular today include Lindy Hop, Balboa, Collegiate Shag, and Charleston.
Which choice completes the text so that it conforms to the conventions of Standard English?","period; however,","period, however;","period, however,","period, however",B,
22,"Evolutionary biologist Jonathan Calede may have discovered the oldest amphibious beaver species in the world. Calede first compared measurements of the beaver’s ankle to those of almost 350 other rodent species to learn more about how it moved. 	Calede dated the species to approximately 30 million years ago based on its location between rock and ash layers.
Which choice completes the text with the most logical transition?","For example,","In conclusion,","Next,","In fact,",C,
23,"Male and female American citizens had starkly different roles during World War II. Men served as soldiers or took part in the workforce to create weapons and other wartime materials. 	women were responsible for maintaining the home and supporting the men. Some women also ventured into the workforce for the first time, and the famous “We Can Do It” poster featuring “Rosie the Riveter” was created to motivate women to pursue this new role.
Which choice completes the text with the most logical transition?","Besides,","Instead,","Likewise,","Meanwhile,",D,
24,"While treatment for hearing loss is typically associated with the ears, some patients with damaged ear structures are not able to use traditional cochlear implants. 	researchers are working to develop hearing aids anchored to patients’ bones in order to combat hearing loss through vibrations in the skull.
Which choice completes the text with the most logical transition?","3 Secondly,","U In addition,","Finally,","ID Hence,",D,
25,"Korean artist Anicka Yi uses a unique process and materials to generate her art installations. Her materials are often perishable and biological, such as soap and flowers, and are not traditionally used for artwork. 	Yi spends almost as much time transforming these substances into completely new materials as she does creating the actual art pieces.
Which choice completes the text with the most logical transition?","Meanwhile,","Instead,","In fact,","To conclude,",C,
26,"While researching a topic, a student has taken the following notes:
•	A writing system for expressing numbers is a numeral system.
•	Two examples of numeral systems from history are Babylonian cuneiform numerals and Roman numerals.
•	The Babylonian cuneiform numeral system is a base-60 system and lacks a zero digit.
•	It’s a positional numeral system in which the position of a digit affects its value.
•	The Roman numeral system is a base-10 system and lacks a zero digit.
•	It’s a non-positional numeral system in which the position of a digit does not affect its value.
The student wants to emphasize a difference between the two numeral systems. Which choice most effectively uses relevant information from the notes to accomplish this goal?",Babylonian cuneiform numerals and Roman numerals are two writing systems for expressing numbers.,The Roman numeral system is a base-10 non-positional system that lacks a zero digit.,"One system for expressing numbers is Babylonian cuneiform; however, another one is the Roman numeral system","The Babylonian cuneiform numeral system is base-60 and positional, while the Roman numeral system is base-10 and non-positional.",D,
27,"While researching a topic, a student has taken the following notes:
•	Archaeologists studied the burial of an individual at the Newen Antug site in Argentinian Patagonia.
•	The individual was buried in a wooden structure over 800 years ago.
•	An analysis of the structure revealed that it was carved from a tree with excellent buoyancy.
•	The wooden structure was a canoe, suggesting that canoes were used as coffins at that time.
The student wants to present the Newen Antug study and its conclusions. Which choice most effectively uses relevant information from the notes to accomplish this goal?",The burial site of an individual over 800 years ago was found at the Newen Antug site in Argentinian Patagonia.,Archaeologists studied the burial site of an individual who was buried at the Newen Antug site over 800 years ago.,An analysis of a burial site at the Newen Antug site in Argentinian Patagonia provided evidence that canoes were used as coffins over 800 years ago.,"As part of a study of a burial site at the Newen Antug site in Argentinian Patagonia, a wooden structure buried with an individual was analyzed.",C,
